başlık,özet,tür,vizyon_tarihi,oyuncular,yönetmen,resim_link
Barbershop,"Calvin (Ice Cube), babası ölünce onun dükkanını ve işlerini devralır. Berberlik yapmak onun için çok sıkıcıdır ve vakit kaybı olarak görmektedir. Dükkanı satmasının hemen ardından aslında babasının neden bu işe önem verdiğini anlamaya başlar ve pişman olur.Chicago’nun güneyindeki bir berberin olağan yaşamından kesitler sunan film, rap yıldızı Ice Cube ve şarkıcı Eve gibi ünlülerle dolu.","['Komedi', 'Dram']",None,"['Ice Cube', 'Anthony Anderson', ' Cedric The Entertainer']",['Tim Story'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/05/47595.jpg
Sokağın Kralları,"Tom Ludlow, LAPD emekli polisidir ve karısının ölümünden sonra hayatını yola sokmak konusunda son derece başarısız hissetmektedir kendisini. Onun yokluğu her yarı karanlığa boğmuştur adeta. Bir polis arkadaşının infazı konusunda kanıtlar bir şekilde Tom’u da olaya dahil edince, yeniden kariyeri boyunca parçası olmadığı o polis kültürüne başkaldırmak zorunda kalır. Yozlaşmalar bariz bir biçimde diz boyuna ulaşmıştır. Bu vesile ile Tom, etrafındaki herkesin sadakatini bir kez daha sorgulamaya kalkışacaktır.","['Polisiye', 'Aksiyon']",11 Nisan 2008,"['Keanu Reeves', 'Forest Whitaker', 'Hugh Laurie']",['David Ayer'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/93/09/19553387.gif
Ölümcül Takip,"Joong-ho eski ve kirli bir dedektif polis olup finansal sorunlar yaşarken çareyi kadın satıcılığı yapmakta bulur. Çok geçmeden bu kadınlar ortalıkta bir iz bırakmadan kaybolmaya başlarlar. Joong-ho, onları bulmaya çalışırken başka bir ipucu keşefeder. Ortadan kaybolan kadınların her biri aynı müşteri tarafından çağrılmışlardır ki içlerinden biri de henüz buluşmak üzeredir o müşteri ile. Nihayet adamı bulur ancak polis adamı göz altına alır. Şimdi Joong-ho’nun yapması gereken şey ise adam gözaltından çıkmadan kadınlardan birini bulmaktır...",['Gerilim'],4 Haziran 2010,"['Yun-seok Kim', 'Jung-woo Ha', 'Yeong-hie Seo']",['Na Hong-jin'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/03/58747.jpg
Five Feet Apart,"Five Feet Apart, iki hasta gencin hastanede yollarının kesişmesi ile değişen yaşamlarını konu ediyor. Stella Grant, 17 yaşında olan bir genç kızdır. Bilgisayarına bağlı bir hayat süren Stella, yaşıtları gibi gezip dolaşmak yerine zamanını çoğunu hastanede geçirmek zorundadır. Kistik fibrozis hastası olan genç kız hayatını rutinler, sınırlamalar ve kendi kendini kontrol etmekle geçirir. Fakat genç kızın hayatı oldukça etkileyici bir genç olan Will Newman ile tanışmasıyla bambaşka bir hal alır. Birbirlerinden etkilenmeye başlayan gençlerin önünde büyük bir engel vardır. Will de Stella gibi hastadır ve hastalıkları nedeniyle hayatlarına konulan sınırlamalar aralarına mesafe koymalarını gerektirir. Ancak onlar birlikte vakit geçirmeye devam ettikçe sınırlamaların dışına çıkmaya başlarlar. Will’in süregelen tedavisine karşı koymaya başladığı direnç onların ilişkini de derinden etkiler. Stella, yavaş yavaş Will’i son nefesini verene kadar yaşamak için ikna etmeye çalışır. Her an ölüm tehlikesi altında olsalar da henüz zamanları varken Will ile birlikte istedikleri gibi yaşamaya çalışan Stella, sevdiği insanı kurtarmayı başarabilecek midir?","['Romantik', 'Dram']",24 Mart 2021,"['Haley Lu Richardson', 'Cole Sprouse', 'Moises Arias']",['Justin Baldoni'],https://tr.web.img2.acsta.net/c_310_420/pictures/18/10/31/09/21/2088871.jpg
Kral Arthur: Kılıç Efsanesi,"Arthur henüz çocukken babası öldürüldüğünde, amcası Vortigern tahta geçer. Doğuştan kazanılan bu hakkı kendisinden çalınan ve kim olduğuna dair hiçbir fikri olmayan Arthur ise şehrin arka sokaklarında, ekmeğini taştan çıkaran biridir. Ancak bir kez kılıcını taştan çektiğinde, bütün hayatı alt üst olur ve hoşuna gitse de gitmese de gerçek mirasına sahip çıkmak zorunda kalacaktır.Yönetmenliğini Guy Ritchie'nin üstlendiği filmin senaryosu ise Joby Harold'a ait. Charlie Hunnam'ın Kral Arthur'u canlandırdığı filmde ayrıca Jude Law, Djimon Hounsou ve Eric Bana da yer alıyor.","['Aksiyon', 'Macera', 'Fantastik']",12 Mayıs 2017,"['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law']",['Guy Ritchie'],https://tr.web.img2.acsta.net/c_310_420/pictures/17/04/10/10/07/314937.jpg
Günışığı,"Upstate New york, kamyonlarla taşıdıkları toksik atıkları illegal yollarla elden çıkarmaya çalışan bir atık yönetimi şirketidir. Bu görev esnasında Hudson nehrinin altındaki Holland tüneline girdiklerinde bir grup elmas hırsızıyla karşılaşmalarıyla kentin kaderi tehlike altına girmek üzeredir. Bu çeteyle aralarında başlayan mücadele sırasında kamyon şoförü direksiyon hakimiyetini yitirecek, böylece atık varilleri patlayacaktır. Bu patlamayla birlikte diğer kamyonlara da sıçrayan ateş, tam bir felakete neden olarak, içerisindeki insanları, giriş ve çıkışı kapatılan tünelde mahsur bırakacaktır. Ancak aralarından bir kurtarıcı çıkana dek...En İyi Ses Efekti dalında Oscar adaylığı bulunan filmin başrollerinde Sylvester Stallone ve Viggo Mortensen gibi ilgi çekici isimler var.","['Aksiyon', 'Gerilim']",None,"['Sylvester Stallone', 'Dan Hedaya', 'Jay O. Sanders']",['Rob Cohen'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/56/35/19549103.jpg
Nixon,"Oliver Stone’un 60’ların Amerika’sına dair çektiği filmlerin sonuncusu olan Nixon, Amerika’nın 37. başkanı olan Richard M. Nixon’ın sıradışı kimliğini ve politik yaşamını konu alıyor. Kronolojik sırası olmadan yaşantısı anlatılan Nixon’ı Oscar ödüllü usta oyuncu Anthony Hopkins canlandırıyor. Filmde, Nixon’ın çocukluğundan eğitim hayatına, karısı Pat Nixon ile olan ilişkisinden, Watergate skandalına kadar tüm önemli dönemler işleniyor.","['Tarihi', 'Biyografik ', 'Dram']",None,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",['Oliver Stone'],https://tr.web.img3.acsta.net/c_310_420/medias/nmedia/18/80/23/86/19545236.jpg
Gitme,"Başarılı bir piskiyatrist olan Sam Foster’ın hayal gücü ile gerçeklik arasındaki çizginin bulanlıklaştığına şahit oluşu, intihar eğilimli hastası Henry Letham’ın üzerine düşmesi ile meydana çıkacaktır. Sanat alanında çalışan Henry, kendisi gibi sanat dünyasındaki bir takım insanların davranışlarından etkilenerek 21 yaşında intihar etmeyi planlamaktadır. Piskiyatristimiz, kendisini hastasına öylesine adamış durumdadır ki bir noktadan sonra o da gerçekle hayal alemi arasındaki çizgiyi göremez hale gelir. Var olmaya çalıştıkları dünyada her ikisi de gizemli bir hale bürünürler. Oyunculukları ile öne çıkan film, izleyicisine etkileyici anlar yaşatacak bir psikolojik gerilim türü.","['Gerilim', 'Dram']",14 Temmuz 2006,"['Ewan McGregor', 'Naomi Watts', 'Ryan Gosling']",['Marc Forster'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/52495.jpg
Turist Ömer Boğa Güreşçisi,"Turist Ömer, yolda bulduğu cüzdanı sahibine ulaştırmaya karar verir. O cüzdan sahibini ararken, cüzdanını kaybeden şarkıcı Rodrigez, cüzdanı bulan ve getiren kişiye, kendisiyle birlikte İspanya seyahati vaat etmektedir. Turist Ömer Rodrigez’e cüzdanı teslim eder ve birlikte İspanya yolunu tutarlar. İspanyada bir soygun olayına karışınca başı polisle derde girer. Kurtulmak için boğa güreşçisi kılığına girince kendini arenada bulur.",[],None,"['Sadri Alışık', 'Erol Büyükburç', 'Feri Cansel']",['Hulki Saner'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/81/16/82/19555954.jpg
Yeniden Sev Beni,"Alex, son derece düzgün bir yaşamı varken bir akşam metroda rastladığı Aimee’nin arkasından gitmek arzusunu o kadar derinden hisseder ki, kız arkadaşı Simone’a bile tek kelime etmeden yürüyüp gider. Aimee ile tanıştıkları anda Alex, onu yıllardır tanıyormuş gibi bir hisse kapılır. Harika bir gece geçirdikten sonra ertesi gün tekrar buluşmak kararı ile Alex evine döner. Ancak bıraktığı hiçbir şey yerinde değildir artık. Ne evi, ne ailesi ne de sevgilisi! Alex tüm geçmişini yitirmiştir. Ona kim olduğunu anlatabilecek tek kişi Aimee’dir. Ancak o cephede de bambaşka gerçekler söz konusudur. Aimee, evlidir ve eşi tam da Alex’in yaşadıklarını anlatan bir roman yazmaktadır. 2003 yılında Cannes Film Festivali’nde Altın Kamera ödülü kazanan film kurgusu ile dönemin en iddialı ve başarılı filmlerinden sayılıyor.",['Dram'],24 Eylül 2004,"['Nikolaj Lie Kaas', 'Maria Bonnevie', 'Krister Henriksson']",['Christoffer Boe'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/44/94/19547777.jpg
The Gentlemen,"The Gentlemen, kurduğu suç imparatorluğunu bırakmak isteyen bir adamın hikayesini konu ediyor. Londra’da kurduğu suç imparatorluğunu bırakmak isteyen Mickey Pearson, ailesi ile birlikte Amerika’ya dönmeyi planlar. Kendisine yeni bir hayat kurmayı planlayan Mickey, işlerini devretmek için ünlü bir milyarder olan Matthew ile anlaşır. Bu sırada Mickey, yıllardır gözünden sakındığı arazilerini Coach ve çetesinden korumaya çalışır. Özel dedektif olan Fletcher ise yıllardır peşine düştüğü Mickey’nin işlediği suçları ortaya çıkarmanın derdindedir. Kendisini türlü entrikaların içinde bulan Mickey, planladığı gibi işin içinden sıyrılmayı başarabilecek midir?","['Polisiye', 'Aksiyon']",15 Şubat 2020,"['Matthew McConaughey', 'Hugh Grant', 'Charlie Hunnam']",['Guy Ritchie'],https://tr.web.img4.acsta.net/c_310_420/pictures/19/11/15/17/50/0228788.jpg
Tamam mıyız?,"İhsan bedensel engeli nedeniyle annesine bağımlı olarak yaşamak zorunda olan ve içerisinde kısılıp kaldığı bu hayata günbegün daha fazla küsen genç bir adamdır. Hayalleri vardır; asla gerçekleşmeyeceğini düşündüğü bu hayallerin uktesi ve annesine yük olduğu fikrinin ağırlığıyla yaşamdan kopmaktadır. Temmuz ise idealleri doğrultusunda baba evinden ayrılan ve bu süreçte ayaklarının üzerinde durmak için çabalayan bir heykeltıraştır. Geçinebilmek amacıyla çocuk romanlarında çizerlik yapar ve iyi gittiğini sandığı bir ilişkisi de vardır. Bir anda sevgilisi tarafından terk edilmesi ve elindeki işi kaybetmesi hayatını daha da altüst eder. Temmuz ve İhsan'ın yolları hayatlarının böylesine karanlık bir döneminde kesişir ve bu tesadüf ikisinin de yeniden doğmasını sağlar.Yerli sinemamızın sevilen ismi Çağan Irmak'ın son filmi olan yapımın senaryosu da Irmak'a ait. Filmin başrollerini Aras Bulut İynemli ve Deniz Celiloğlu paylaşırken, oyuncu kadrosunda göze çarpan diğer isimler ise Sumru Yavrucuk, Aslı Enver ve Gürkan Uygun...",['Dram'],29 Kasım 2013,"['Deniz Celiloğlu', 'Aras Bulut İynemli', 'Sumru Yavrucuk']",['Çağan Irmak'],https://tr.web.img4.acsta.net/c_310_420/pictures/210/457/21045756_20131001204521889.jpg
Sonuna Kadar,"Conor O'Neill'ın hayatında olan tek hobisi çeşitli spor müsabakaları üzerine bahislere girmek ve kaybetmektir. Tüm hayatını büyük sorumlulukların altına girmekten kaçarak harcamıştır ve hiç kimseye bir yararı yoktur. Sürekli olarak borç almak için kapısını çaldığı arkadaşı, artık Conor'ın kendi başına para kazanması gerektiğini söyler. Conor, böylece siyahi oyunculardan kurulu bir beyzbol takımı olan 'Kekembas'a koçluk yapmak zorunda kalacaktır. Conor kısa sürede takımına ve oyuncularına karşı büyük bir sorumluluk hissetmeye başlayacaktır.",['Dramatik komedi'],4 Ocak 2002,"['Keanu Reeves', 'Diane Lane', 'D.B. Sweeney']",['Brian Robbins'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/04/28962.jpg
Güzel Dedektif,"Asla gece elbisesi giyen bir FBI ajanına bulaşmayın !ABD Güzeli’nin seçileceği geceye yönelik bir terörist saldırı ihbarı alan Federal Büro, kılık değiştirmiş bir ajanı etkinliğe katar. Ajan Gracie Hart, yakın dövüşte ve ateşli silahlı kullanmakta ustadır gerçi. Fakat, diğer yarışma finalistleriyle birlikte allanıp pullandığında üzerine yönelecek ateşli bakışlara hiç de hanımefendi gibi karşılık veremez...Macera-komedi türündeki film, Sandra Bullock’un cazibesi ve oyunculuğu üzerine kurulu. Michael Caine ve UZAY YOLU’nun Kaptan Kirk’ü William Shatner diğer önemli rollerde...","['Komedi', 'Aksiyon']",13 Nisan 2001,"['Sandra Bullock', 'Benjamin Bratt', 'Michael Caine']",['Donald Petrie'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/26861.jpg
Kirli Harry,"Dirty Harry diye tanınan Harry Callahan, çok zorlu bir San Fransisco polisidir. Bir çatı tetikçisi (Andy Robinson), iki kez cinayet işlemiştir ve tüm şehri tehdit etmektedir. Harry onu er geç yakalayacaktır... Çekimleri stüdyo dışında gerçekleştiren yönetmen Don Siegel, Körfez Şehri San Fransisco’yu, filmin devam serisinde de rastlayacağımız önemli bir özellik olarak kullanmış. Filmin orjinali, en sürükleyici polisiye filmler arasında yeralıyor.","['Polisiye', 'Aksiyon', 'Gerilim']",None,"['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino']",['Don Siegel'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/05/381.jpg
Kötü Eğitim,"İspanyol sinemasının nevi şahsına münhasır yönetmenlerinden biridir Pedro Almodóvar. Gerçekten de birbirinden sıradışı yapımlarla sadece Avrupa'da değil; okyanus ötesinde de hatırı sayılır bir izleyici kitlesine ulaşmayı beceren yetenekli bir sinema adamı. Kötü Eğitim'de de İspanya'daki tuhaf hayatlar arasında bir yolculuğa davet ediyor sinemaseverleri. Bu defa iki erkek çocuk, Ignacio ve Enrique, 60’lı yılların İspanya’sındaki bir katolik okulunda öğrencidirler. Burada geçirdikleri zaman boyunca aşkı, sinemayı ve korkuyu keşfedeceklerdir. Okulun müdürü ve edebiyat öğretmeni Peder Manolo, bu keşiflerin hem şahidi olur, hem de bir parçası... Üç karakter yıllar sonra, 70’lerde ve 80’lerde, iki kez daha aynı mekanda bir araya gelecekler. Bu karşılaşmalar aralarından birinin yaşamı ve ölümü için belirleyici olacak.","['Dram', 'Gerilim']",15 Ekim 2004,"['Gael García Bernal', 'Fele Martínez', 'Daniel Giménez Cacho']",['Pedro Almodóvar'],https://tr.web.img4.acsta.net/c_310_420/pictures/16/03/02/09/00/109263.jpg
Hugo,"Hugo Cabret Paris tren istasyonunun duvarları arasında gizlice yaşayan ve saatlerin düzgün çalışmasından sorumlu olan kimsesiz bir çocuktur. Bir müze yangınında saat ustası babasını kaybeden Hugo, ondan yadigar kalan bir ""automaton""u da gizlice tamir etmeye çalışır. Bu arada Paris tren istasyonunun güvenlik görevlisinden sürekli saklanır, oyuncak dükkanı sahibi Bay Georges'tan (Méliés) çaktırmadan mekanik parça aşırır. Bir gün Georges'un manevi kızı Isabella ile tanışması Hugo'ya yeni bir dünyanın kapılarını daha açacaktır... Usta yönetmen Martin Scorsese'nin de ilk 3D denemesi olan Hugo Brian Selznick’in ""The Invention of Hugo Cabret"" adlı çocuk romanından uyarlanan bir yapım. 2008 Caldecott nişanına sahip olan bu kitabın esas ilham kaynağı ise sinemanın babası olarak sayılabilecek Georges Méliés filmleri ve yönetmenin mekanik figür koleksiyonları...Sinema tarihine bir saygı duruşu niteliğinde de olan Hugo, 84. Akademi Ödülleri'nde En İyi Film de dahil olmak üzere tam 11 dalda aday.","['Macera', 'Dram', 'Aile']",2 Aralık 2011,"['Asa Butterfield', 'Chloë Grace Moretz', 'Ben Kingsley']",['Martin Scorsese'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/01/136181.jpg
Kızıl Nehirler,"Kızıl Nehirler, ülkemizde de çok sevilen bir bestseller romancı olan Fransız yazar Jean-Christophe Grangé'a ait kitabın aynı adla sinemaya uyarlanan versiyonu olarak, 2000 yılında vizyon şansı bulmuş bir yapım... Eskiokul ve sert bir polis müfettişinin tuhaf maceraları olarak ana teması hakkında bilgi verebileceğimiz bu filmde, görevini yaparken sıklıkla kural dışına çıkan bir polisi izleyeceğiz... Uyguladığı sertlikten dolayı bir taşra görevine sürülen tecrübeli Niemans ile genç yardımcısının korkunç şekilde işlenmiş seri cinayetleri çözme çabası olayların giderek karmaşıklaşmasıyla içinden çıkılmaz bir hal alır.","['Gerilim', 'Polisiye']",None,"['Jean Reno', 'Vincent Cassel', 'Dominique Sanda']",['Mathieu Kassovitz'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/03/1325.jpg
Robinson Ailesi,"Son derece zeki bir çocuk olan Lewis’in, teknolojik aletlerle arası oldukça iyidir. Aile kavramından uzak büyüyen Lewis, ne kadar kendini teknolojik işlere verse de ailesini bulmak hayalinden hiç vazgeçmemiştir. Bir gün Wilbur Robinson adında biri ile tanışır. Bu adam Lewis’i alıp bambaşka bir dünyaya, geleceğe götürür. Orada bir aile vardır, Robinson Ailesi. Lewis, onları tanıyınca yaşamı değişir. Hem aile hasreti hafifler hem de becerilerini geliştirme fırsatı bulur. Ancak bu başka dünyada yalnızca iyi insanlar yoktur.","['Animasyon', 'Komedi', 'Aile', 'Bilimkurgu', 'Macera']",30 Mart 2007,"['Daniel Hansen', 'Angela Bassett', 'Tom Selleck']",['Stephen J. Anderson'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/60249.jpg
Elveda Las Vegas,"Ben Anderson, adeta kaybedenler kulübünün bir müdavimi üyesine dönüşmüştür. Yazar olarak kıt kanaat geçimini sağlama derdindeki Anderson' karısı, çocuğunu da yanına alarak terketmiştir. Zaten içki ile sorunları olan Ben iyice alkol denizinin derinliklerine doğru yol alacaktır. İçki ile olan tehlikeli flörtü nereye gitse peşini bırakmamaktadır; işte şimdi de Las Vegas'tadır ve yine alkol problemleri ile cebelleşmektedir. Ancak, hayatına giren Sara adındaki fahişe, sanki bir şeyleri değiştirecek gibi olur...",['Dram'],None,"['Nicolas Cage', 'Elisabeth Shue', 'Steven Weber']",['Mike Figgis'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/02/14215.jpg
Şövalye,"William, hayatına bir şövalyenin yardımcılığını üstlenerek devam etmektedir. William'ın efendisi sürpriz bir şekilde ölür ve William, bu durumdan hınzırca yararlanmaya karar verir. Efendisinin kimliğine girer ve sadece şövalyelerin yarışabildiği, büyük bir turnuvaya doğru yola çıkar. Geoffrey Chaucher ise, henüz tanınmamış bir şairken William'ın bu yeni kimliğini üstlenmesinde kendisine yardımlarda bulunacaktır. İngiliz edebiyatının en değerli mahsullerinden biri olan Canterburry Öyküleri'nin modern bir uyarlaması olan Şövalye, Eric Clapton ve Freddie Mercury gibi müzisyenlerden güç alıyor.","['Aksiyon', 'Macera']",14 Eylül 2001,"['Heath Ledger', 'Mark Addy', 'Rufus Sewell']",['Brian Helgeland'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/05/29298.jpg
Wonder Woman,"Amazon prensesi Diana Price, nam-ı diğer Wonder Woman dünyayı keşfetmek için tropik topraklarını geride bırakıp demir ve camın hüküm sürdüğü dünyamıza dalar. Birçok inanüstü yetenek ve kıvrak bir zekayla donatılmış olan güzel kahraman Cennet Adası'nın medeniyete açılan kapısı olacaktır.Wonder Woman'ın yönetmen koltuğunda Patty Jenkins oturuyor. Filmin senaryosunu Allan Heinberg ve Geoff Johns kaleme alırken filmin süper kahraman kadınını Batman vs Superman: Adaletin Şafağı filminde olduğu gibi yine Gal Gadot canlandırıyor. Filmin kadrosunda Connie Nielsen, Chris Pine, Robin Wright ve David Thewlis gibi başarılı isimler bulunuyor.","['Aksiyon', 'Macera', 'Fantastik']",2 Haziran 2017,"['Gal Gadot', 'Chris Pine', 'Connie Nielsen']",['Patty Jenkins'],https://tr.web.img3.acsta.net/c_310_420/pictures/16/11/03/16/33/532910.jpg
Beni Unutma,"Melanie Carmichael, hayatını New York'ta sürdüren tanınmış bir modacıdır. Şehrin en ünlü ve tanınan bekarlarından biri olan bir adamla evlenmek üzeredir. Ancak kafasında halen buralara nerelerden geldiğini ona hatırlatan, eskimiş sorular vardır. Lisede henüz genç bir kızken Jake isimli bir adamla evlenmiştir ve bu adam karısından boşanmayı katiyen kabul etmemektedir. Melanie, son çare olarak eşinin yaşadığı Alabama'ya doğru yola çıkan ve Jake'le konuşur. Ancak eski zorluklar devam edecektir.","['Romantik', 'Komedi']",13 Haziran 2003,"['Reese Witherspoon', 'Josh Lucas', 'Patrick Dempsey']",['Andy Tennant'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/28/75/19545909.jpg
Cinayet Günlüğü,"Cinayet Günlüğü'nde Güney Kore 90'lı yılların sonlarında askeri bir yönetimin baskıcı tavrının altındadır. Ülkede sansürler ve baskı her gün ağırlaşarak devam etmektedir. Bir gün bir tecavüze uğramış olan bir kadın vahşice bir cinayete kuran gider. Olayı çözmek için işin başına lokal bir polis dedektifi olan Park Doo-Man getirilir. Ancak uyguladığı tüm yöntemler onu cinayetten uzaklaştırır. Bunun üzerine görevin başına getirilen Seo, önceki dedektiften daha başarılı olmak için elinden geleni yapacaktır.","['Polisiye', 'Dram', 'Aksiyon']",None,"['Song Kang-Ho', 'Kim Sang-kyung', 'Hie-bong Byeon']",['Bong Joon Ho'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/80/84/43/19552511.jpg
Duman,"Bu filmin ilginç bir öyküsü var. 1990 yılında 'The New York Times' gazetesi, yazar Paul Auster’den bir Noel hikayesi yazmasini ister. Bu istek sonucunda ortaya çıkan 'Auggie Wren’s Christmas Story' isimli hikaye, Smoke’un senaryosu için temel oluşturur.Wayne Wang’ın yönettiği ve Brooklyn’deki bir tütün dükkanında geçen film için, Auster öyküyü, hayatları Auggie Wren ile kesişen dört yeni karakter ekleyerek genişletti. Mahallenin buluşma yeri olan dükkanın işletmecisi Auggie rolünde, Harvey Keitel, muhteşem bir performans sergiledi.Diğer karakterleri oluşturan; önü kesilmiş bir yazar olan Paul (William Hurt), başbelası bir delikanlı Rashid, Auggie’nin eski sevgilisi Ruby ve diğerleri, yazın bir kaç günü boyunca bir arkadaşlık ağı kurarlar.Bundan önce, romanı Şans Müziği’ni oldukça sıkı bir stilde sinemaya uyarlayan Auster bu kez epey gevşek ve doğaçlamaya açık bir üslup tutturuyor; karakterlerini kendi hayatları hakkında konuşmak üzere serbest bırakıyor.Asıl noel hikayesi ise en sonda Tom Waits müziğinin önünde ve siyah beyaz olarak oynuyor.",['Dramatik komedi'],None,"['Harvey Keitel', 'William Hurt', 'Stockard Channing']","['Paul Auster', 'Wayne Wang']",https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/05/13086.jpg
The Master,"Eski donanma subayı Freddie Sutton, tüm dünyayı alt üst eden II. Dünya Savaşı'nda cephede görev aldıktan sonra ülkesine döner. Fakat bundan sonra ne yapacağı, hayatını nasıl şekillendireceği konusunda kararsızdır. Tam bir boşluğa düşmek üzereyken The Cause tarikatının karizmatik lideri Lancaster Dodd ile tesadüfen tanışır ve ona tutunur. Sutton kısa bir sürede vaazlarıyla meşhur olan Dodd'un sağ kolu olur; başta neyin içine sürüklendiğini tam olarak bilmese de ilerleyen dönemlerde Master'ın önüne dahi geçecektir...1950'li yıllara odaklanan yapım The Cause tarikatının din temelli faaliyetlerinin Amerika çapında yayılmaya ve gitgide popüler olmaya başlamasını merkezine alıyor. Senaryosu ve yönetmenliği, Kan Dökülecek filmi ile Oscar adaylığı da olan Paul Thomas Anderson'a ait olan filmin başrollerini Philip Seymour Hoffman ve Joaquin Phoenix paylaşıyor...",['Dram'],9 Kasım 2012,"['Joaquin Phoenix', 'Philip Seymour Hoffman', 'Amy Adams']",['Paul Thomas Anderson'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/90/85/54/20308948.jpg
Honey,"Honey Danels, yimi iki yaşında seksi, inatçı, büyük bir video klip koreografı olmak hayali kuran yarı Latin hip hop dansçısıdır. Gündüzleri de ayrıca barmaidlik ile para kazanmaktadır. Bir hip hop dans merkezinde de gençlere eğitim vererek onları sokaklardan ve beladan uzak tutmaya çalışmaktadır. Şans, Micheal adında bir video klip direktörü kılığında Honey’nin yüzüne güldüğünde genç kadın, dansçılıktan koreograflığa geçiş yapar. Ancak ani gelen başarının bir bedeli vardır. Micheal’ın kendisine açtığı kapı karşılığında talep ettiği seks fikrine hayır cevabı vermesi ile işler kötüye gitmeye başlar. Bu kez henüz elde ettiği kariyeri yine aynı kişi tarafından tehdit altındadır.","['Müzik', 'Dram']",6 Ağustos 2004,"['Jessica Alba', 'Mekhi Phifer', 'Joy Bryant']",['Bille Woodruff'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/02/45915.jpg
Rehine,"Polis olarak görev yapan Jeff Talley’in esas görevi rehineler için görüşme ve arabuluculuk yapmaktır. Kariyerinde yaşadığı bir başarısızlıktan ötürü, tayin talebi ile Los Angeles dışına çıkarak karısı ve kızını da bırakıp uzaklaşmak ister. Gittiği yerde bir hırsızlık olayı ile ilgili işler pek yolunda gitmez. Hırsızlık yapan üç fail, pek şüphelenilmeyen bir aileyi rehin alır. Ancak ailedeki babanın bir sırrı vardır ve suçlulardan biri köşeyi dönmeden buradan ayrılmamakta kararlıdır. Bir noktadan sonra Talley’in kızı ve karısı da rehin alınmıştır. O gece Jeff Talley’in herkesi kurtarması gerekmektedir. Tabi bunu başarabilirse…","['Aksiyon', 'Gerilim']",29 Nisan 2005,"['Bruce Willis', 'Kevin Pollak', 'Ben Foster']",['Florent Siri'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/80/49/64/19548289.jpg
Zor Hedef Fare,Babalarını kaybetmelerinin ardından kendilerine kalan mirasa gözlerini diken iki kardeş mirası öğrendiklerinde hayal kırıklığına uğrarlar. Kendilerine kalan şey harabe bir evdir. Ancak kısa süre sonra bu harabenin önemli bir tarihi eser olduğunu öğrenirler. Artık evi satıp zengin olmanın zamanıdır. Ne var ki ortada büyük bir problem vardır. Evi mesken tutan zeki fare iki kardeşi çileden çıkartacaktır.,['Komedi'],None,"['Nathan Lane', 'Lee Evans', 'Vicki Lewis']",['Gore Verbinski'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/02/16498.jpg
Samurayın Gözyaşları,"Güzeller güzeli ve son derece de başarılı bir ressam olan Emu O'Hara, sık sık çocukluğundan gelen kabuslarıyla boğuşmaktadır. Çocuk yaşında ailesinin mafya tarafından öldürülmesine tanık olan talihsiz kadın, resim çizdiği sıradan günlerden birinde ilginç bir olaya tanık olur. Bir grup mafya üyesinin çekici bir adam tarafından öldürüldüğü anı gören kadın, onu ilk gördüğü an bu usta dövüşçüye karşı bir şeyler hissetmeye başlar. Bu esrarengiz adam, gizli bir suç örgütü için çalışmakta olan Yo isimli bir suikastçidir. Yo, son işinde görgü tanığı olarak karşılaştığı Emu'yu ortadan kaldırmak zorundadır. Ancak bu durum zannettiği kadar kolay olmayacaktır.","['Polisiye', 'Gerilim', 'Aksiyon']",None,"['Mark Dacascos', 'Julie Condra', 'Rae Dawn Chong']",['Christophe Gans'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/06/14586.jpeg
